TIME,GEO_NAME,GEO,GREEN_POL,SRC_CRF,THOUSAND_TONNES
2010,EE,Estonia,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-4,443.10"
2010,EE,Estonia,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-4,797.91"
2010,EE,Estonia,Methane,"Land use, land use change, and forestry (LULUCF)",2.69
2010,EE,Estonia,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",67.3
2010,EE,Estonia,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.96
2010,EE,Estonia,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",287.52
2010,EE,Estonia,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EE,Estonia,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EE,Estonia,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EE,Estonia,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EE,Estonia,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EL,Greece,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"8,815.94"
2010,EL,Greece,Carbon dioxide,Agriculture,30.35
2010,EL,Greece,Methane,Agriculture,198.83
2010,EL,Greece,Methane (CO2 equivalent),Agriculture,"4,970.77"
2010,EL,Greece,Nitrous oxide,Agriculture,12.8
2010,EL,Greece,Nitrous oxide (CO2 equivalent),Agriculture,"3,814.82"
2010,EL,Greece,Hydrofluorocarbones (CO2 equivalent),Agriculture,:
2010,EL,Greece,Perfluorocarbones (CO2 equivalent),Agriculture,:
2010,EL,Greece,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),Agriculture,:
2010,EL,Greece,Sulphur hexafluoride (CO2 equivalent),Agriculture,:
2010,EL,Greece,Nitrogen trifluoride (CO2 equivalent),Agriculture,:
2010,EL,Greece,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)","Land use, land use change, and forestry (LULUCF)","-3,043.08"
2010,EL,Greece,Carbon dioxide,"Land use, land use change, and forestry (LULUCF)","-3,076.99"
2010,EL,Greece,Methane,"Land use, land use change, and forestry (LULUCF)",0.66
2010,EL,Greece,Methane (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",16.41
2010,EL,Greece,Nitrous oxide,"Land use, land use change, and forestry (LULUCF)",0.06
2010,EL,Greece,Nitrous oxide (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",17.5
2010,EL,Greece,Hydrofluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EL,Greece,Perfluorocarbones (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EL,Greece,Hydrofluorocarbones and perfluorocarbones - not specified mix (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EL,Greece,Sulphur hexafluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,EL,Greece,Nitrogen trifluoride (CO2 equivalent),"Land use, land use change, and forestry (LULUCF)",:
2010,ES,Spain,"Greenhouse gases (CO2, N2O in CO2 equivalent, CH4 in CO2 equivalent, HFC in CO2 equivalent, PFC in CO2 equivalent, SF6 in CO2 equivalent, NF3 in CO2 equivalent)",Agriculture,"36,186.96"
2010,ES,Spain,Carbon dioxide,Agriculture,500.95
2010,ES,Spain,Methane,Agriculture,910.25
